diff --dolt a/writings b/writings
--- a/writings
+++ b/writings
+---+-----------------+--------------------------------------+
|   | phelps          | version                              |
+---+-----------------+--------------------------------------+
| < | NULL            | 006d8a7c-daf0-4716-94c2-0ab24e05cf54 |
| > | AB00553         | 006d8a7c-daf0-4716-94c2-0ab24e05cf54 |
| < | NULL            | 00a2f851-1be9-4ff6-8bda-1b3854298aca |
| > | AB07158         | 00a2f851-1be9-4ff6-8bda-1b3854298aca |
| < | NULL            | 00bd2321-35c0-4986-ba8c-ed9a8a5275fe |
| > | BH09401         | 00bd2321-35c0-4986-ba8c-ed9a8a5275fe |
| < | NULL            | 00e8065e-cb20-4fc7-9972-d8b38f36aec7 |
| > | TMP00069        | 00e8065e-cb20-4fc7-9972-d8b38f36aec7 |
| < | NULL            | 011d5894-1bab-4c39-b9e8-7ead5b8b9c81 |
| > | BH00438         | 011d5894-1bab-4c39-b9e8-7ead5b8b9c81 |
| < | NULL            | 0121acad-660b-4234-a94e-1c3d2d383c80 |
| > | ABU0070GAT      | 0121acad-660b-4234-a94e-1c3d2d383c80 |
| < | NULL            | 01d57874-465f-42f8-8abd-f0996b3056ac |
| > | BH07657         | 01d57874-465f-42f8-8abd-f0996b3056ac |
| < | NULL            | 03461a16-d942-49df-a1f1-20eea88f9d6c |
| > | AB00241HIG      | 03461a16-d942-49df-a1f1-20eea88f9d6c |
| < | NULL            | 035d0cc2-1dd6-4aa0-b90a-007c472f029b |
| > | BH00568IMP      | 035d0cc2-1dd6-4aa0-b90a-007c472f029b |
| < | NULL            | 03ce30d2-0077-4bfc-9481-e7bcfb866b47 |
| > | BH09508         | 03ce30d2-0077-4bfc-9481-e7bcfb866b47 |
| < | NULL            | 046ce522-9329-4459-b244-cd7aa3b95e81 |
| > | ABU0137ALL      | 046ce522-9329-4459-b244-cd7aa3b95e81 |
| < | NULL            | 05494fd0-5b3f-4dba-9cb8-8ef0567c2a2c |
| > | BH07106         | 05494fd0-5b3f-4dba-9cb8-8ef0567c2a2c |
| < | NULL            | 05ab5ff1-1631-4b5e-bcec-3b157e7a3b65 |
| > | BH08855         | 05ab5ff1-1631-4b5e-bcec-3b157e7a3b65 |
| < | NULL            | 0603e169-4617-45f0-880e-5d512066d7b0 |
| > | TMP00056        | 0603e169-4617-45f0-880e-5d512066d7b0 |
| < | AB03461MAR      | 068b50ae-d492-4758-b6ba-e2156533f04e |
| > |                 | 068b50ae-d492-4758-b6ba-e2156533f04e |
| < | NULL            | 06a05b50-6e0a-47dd-b336-0e6d9b29f357 |
| > | AB00388COM      | 06a05b50-6e0a-47dd-b336-0e6d9b29f357 |
| < | NULL            | 06fde28e-8dab-4ab3-afa4-79d14c170675 |
| > | BH00438         | 06fde28e-8dab-4ab3-afa4-79d14c170675 |
| < | NULL            | 07673a97-633b-46f1-8144-7d6d612f1397 |
| > | BH03629GRI      | 07673a97-633b-46f1-8144-7d6d612f1397 |
| < | NULL            | 07846922-c48c-45c4-8825-d95c93cece77 |
| > |                 | 07846922-c48c-45c4-8825-d95c93cece77 |
| < | NULL            | 078a7cad-40a8-4f0f-9d99-57ae8ba6fb3e |
| > | AB00210BIR      | 078a7cad-40a8-4f0f-9d99-57ae8ba6fb3e |
| < | NULL            | 081f78f2-2939-404c-b1bf-e3bcac054745 |
| > | BH09848         | 081f78f2-2939-404c-b1bf-e3bcac054745 |
| < | NULL            | 084e5390-05d8-4b06-a672-a0ee291a40ee |
| > | NEW_TRANSLATION | 084e5390-05d8-4b06-a672-a0ee291a40ee |
| < | AB00001FIR      | 08a15ee3-ba28-42de-8cf0-def6e87003c3 |
| > |                 | 08a15ee3-ba28-42de-8cf0-def6e87003c3 |
| < | NULL            | 08c0cad1-f906-4296-8904-8e4d7d1cb88d |
| > | BB00522         | 08c0cad1-f906-4296-8904-8e4d7d1cb88d |
| < | NULL            | 0918dc9a-c0a8-4d80-b4f2-89ecc8b7324f |
| > | BH02022         | 0918dc9a-c0a8-4d80-b4f2-89ecc8b7324f |
| < | NULL            | 09bb0f23-1310-47cc-a4b8-79409a2651aa |
| > | BH09401         | 09bb0f23-1310-47cc-a4b8-79409a2651aa |
| < | BH09085         | 0a06655c-1fb4-4cb4-b034-6df27988eedd |
| > |                 | 0a06655c-1fb4-4cb4-b034-6df27988eedd |
| < | NULL            | 0a911b9c-ca76-4b15-aad6-3939860ab5f2 |
| > | ABU0188TUR      | 0a911b9c-ca76-4b15-aad6-3939860ab5f2 |
| < | NULL            | 0b14dde1-9e69-4c4e-86d4-6f7c77c95c1c |
| > | AB00001SHI      | 0b14dde1-9e69-4c4e-86d4-6f7c77c95c1c |
| < | NULL            | 0d2e0497-a66a-48d4-bfee-3f12e7ef7df5 |
| > | BH00009SER      | 0d2e0497-a66a-48d4-bfee-3f12e7ef7df5 |
| < | NULL            | 0e10b825-fcb4-494d-82c6-b2d6faa39510 |
| > | AB00094WEA      | 0e10b825-fcb4-494d-82c6-b2d6faa39510 |
| < | NULL            | 0ef370bb-df98-4555-9b01-7987206accba |
| > | BH04569         | 0ef370bb-df98-4555-9b01-7987206accba |
| < | NULL            | 0f2f11d3-797c-426e-a9fc-c940b285ebe1 |
| > | AB02866         | 0f2f11d3-797c-426e-a9fc-c940b285ebe1 |
| < | AB00001SHI      | 0f4b0d14-d3c5-49df-a926-3a4c57c4a634 |
| > |                 | 0f4b0d14-d3c5-49df-a926-3a4c57c4a634 |
| < | NULL            | 1097f772-6ae0-4318-803e-bf154b4844dd |
| > | BH07180         | 1097f772-6ae0-4318-803e-bf154b4844dd |
| < | NULL            | 10a3e14f-9317-43f0-80b2-5f6f9de859ec |
| > | BH02307         | 10a3e14f-9317-43f0-80b2-5f6f9de859ec |
| < | NULL            | 11cc129c-b967-45c1-9059-658dab0e7e78 |
| > | BH06026         | 11cc129c-b967-45c1-9059-658dab0e7e78 |
| < | AB00094WEA      | 11ea12a4-ce31-4b08-bbe9-3bfed5e50f08 |
| > |                 | 11ea12a4-ce31-4b08-bbe9-3bfed5e50f08 |
| < | NULL            | 124713b1-c2be-47c5-825d-7ddc1cdf54cd |
| > | AB10701         | 124713b1-c2be-47c5-825d-7ddc1cdf54cd |
| < | NULL            | 12a17676-3ebf-4657-9fc3-212511dcd40e |
| > | AB07158         | 12a17676-3ebf-4657-9fc3-212511dcd40e |
| < | NULL            | 12bb8673-efea-4d32-b5ac-9a24675bbd9c |
| > | AB05652WIS      | 12bb8673-efea-4d32-b5ac-9a24675bbd9c |
| < | NULL            | 135adfbf-7515-434f-824c-60b31bd50e92 |
| > |                 | 135adfbf-7515-434f-824c-60b31bd50e92 |
| < | NULL            | 13830a97-38b7-4c28-b6fc-a5bbb4b8511f |
| > | BH07180         | 13830a97-38b7-4c28-b6fc-a5bbb4b8511f |
| < | NULL            | 13e634cb-995e-4608-b6b4-3a4c292d6945 |
| > | BB00617         | 13e634cb-995e-4608-b6b4-3a4c292d6945 |
| < | NULL            | 14ae4feb-3c2f-410b-9843-2c7c941fe2fc |
| > | AB00001SHI      | 14ae4feb-3c2f-410b-9843-2c7c941fe2fc |
| < | NULL            | 150fd883-ee22-4f9a-8c50-26696026f0f3 |
| > | BH08604         | 150fd883-ee22-4f9a-8c50-26696026f0f3 |
| < | NULL            | 15199aa6-4966-4650-b420-5681cc6c8c31 |
| > | BH00009SHE      | 15199aa6-4966-4650-b420-5681cc6c8c31 |
| < | NULL            | 1525edf2-68b1-4c75-a72b-0e7344be1cfb |
| > |                 | 1525edf2-68b1-4c75-a72b-0e7344be1cfb |
| < | NULL            | 1580da1b-36e1-45fb-9ca4-1af6a9bc3980 |
| > | AB07759         | 1580da1b-36e1-45fb-9ca4-1af6a9bc3980 |
| < | NULL            | 15c093ed-00bd-4308-aa11-11f4e47715c9 |
| > | BH03447         | 15c093ed-00bd-4308-aa11-11f4e47715c9 |
| < | BH00154FIR      | 15c2889b-029f-4777-af33-f3ad21e69c41 |
| > |                 | 15c2889b-029f-4777-af33-f3ad21e69c41 |
| < | NULL            | 167ba57b-e05a-42b0-a005-642c0ae3ea19 |
| > | BH01313NAM      | 167ba57b-e05a-42b0-a005-642c0ae3ea19 |
| < | NULL            | 17269926-cdf3-4281-a0ea-bf1ee3c2b067 |
| > | BH07683         | 17269926-cdf3-4281-a0ea-bf1ee3c2b067 |
| < | NULL            | 175c922b-5942-4fd6-94e5-f6a42dfa4910 |
| > | BH02022         | 175c922b-5942-4fd6-94e5-f6a42dfa4910 |
| < | NULL            | 17c9c3da-0e5e-426e-b6cc-3f67719619e2 |
| > | AB09139         | 17c9c3da-0e5e-426e-b6cc-3f67719619e2 |
| < | NULL            | 1895a7a2-2ddc-4783-9be3-6b40f7b5d47b |
| > | AB02024         | 1895a7a2-2ddc-4783-9be3-6b40f7b5d47b |
| < | NULL            | 18b60e10-2c29-44ef-a50b-6fff812d3e0d |
| > | TMP00027        | 18b60e10-2c29-44ef-a50b-6fff812d3e0d |
| < | NULL            | 19c700eb-fe2f-462a-9d0e-2d54a10cbab3 |
| > | BH00095MGX      | 19c700eb-fe2f-462a-9d0e-2d54a10cbab3 |
| < | BH03447         | 19d8333d-ef2d-4c7d-ac67-61df2f14b689 |
| > |                 | 19d8333d-ef2d-4c7d-ac67-61df2f14b689 |
| < | NULL            | 19ff065f-b95a-4c0f-80a6-5c4be3467311 |
| > |                 | 19ff065f-b95a-4c0f-80a6-5c4be3467311 |
| < | NULL            | 1a66d483-ae97-4a51-bb5b-e82187020b72 |
| > | AB08693         | 1a66d483-ae97-4a51-bb5b-e82187020b72 |
| < | BH01125         | 1ab7a2d5-21c1-48a7-b98c-21d24afe7ae2 |
| > |                 | 1ab7a2d5-21c1-48a7-b98c-21d24afe7ae2 |
| < | NULL            | 1b312880-50bc-4abf-a4d6-e6ab5a7e7f19 |
| > | BH08604         | 1b312880-50bc-4abf-a4d6-e6ab5a7e7f19 |
| < | BH08855         | 1b82ecd2-0a6d-4a05-a264-8075aafc35e8 |
| > |                 | 1b82ecd2-0a6d-4a05-a264-8075aafc35e8 |
| < | NULL            | 1c6b2623-6d78-40b0-9bb0-01a92d4d4258 |
| > | AB00049RAP      | 1c6b2623-6d78-40b0-9bb0-01a92d4d4258 |
| < | NULL            | 1c86bd05-f6ce-41d6-a53d-33a19898b2f4 |
| > | BH10973         | 1c86bd05-f6ce-41d6-a53d-33a19898b2f4 |
| < | NULL            | 1cad75b1-4983-48b2-89f1-9057e0b30a5c |
| > | AB00169FRA      | 1cad75b1-4983-48b2-89f1-9057e0b30a5c |
| < | NULL            | 1cb4fbb1-1393-4a5f-bbdb-010c729a1dcb |
| > | BH05543         | 1cb4fbb1-1393-4a5f-bbdb-010c729a1dcb |
| < | NULL            | 1d957147-a32c-40f7-afaa-fee8f4288630 |
| > | AB00218SOU      | 1d957147-a32c-40f7-afaa-fee8f4288630 |
| < | NULL            | 1d9cc7c8-ad5f-461a-a178-46e7e537f823 |
| > | AB07124         | 1d9cc7c8-ad5f-461a-a178-46e7e537f823 |
| < | NULL            | 1e77dc97-3fbd-4f19-973e-3bbc353a47f2 |
| > | BH10505         | 1e77dc97-3fbd-4f19-973e-3bbc353a47f2 |
| < | NULL            | 1ed19706-83a5-45d7-a4e2-e1ba120092ab |
| > | AB02596         | 1ed19706-83a5-45d7-a4e2-e1ba120092ab |
| < | NULL            | 1ff4402d-c27e-42b9-be8b-c69a2efb713c |
| > | BH00009AWA      | 1ff4402d-c27e-42b9-be8b-c69a2efb713c |
| < | NULL            | 20833936-33b6-4f98-ace4-ad18e19fb264 |
| > | BH08828         | 20833936-33b6-4f98-ace4-ad18e19fb264 |
| < | NULL            | 20b2c46a-7fde-4dd3-8d45-04e2b9befa96 |
| > | AB02866         | 20b2c46a-7fde-4dd3-8d45-04e2b9befa96 |
| < | NULL            | 21716a2a-da85-47ca-9627-e9565a1a2834 |
| > | BH00005SEE      | 21716a2a-da85-47ca-9627-e9565a1a2834 |
| < | NULL            | 217959ef-5eec-468a-9ea2-e7995d0faeca |
| > | AB04980HOP      | 217959ef-5eec-468a-9ea2-e7995d0faeca |
| < | NULL            | 222537af-0032-4394-bb4e-ed67bb837fc2 |
| > | BH08846         | 222537af-0032-4394-bb4e-ed67bb837fc2 |
| < | NULL            | 22ac4a1a-c27b-4002-978e-4b47d978b252 |
