version,issue
0001ebdd-93b2-4fb2-8584-83c2cb0ce987,Duplicate language zh-Hant for phelps AB00094WEA with different content
006d8a7c-daf0-4716-94c2-0ab24e05cf54,Missing phelps code
007b5005-55dc-49fa-bc2d-585a67ad51cb,Missing phelps code
00a2f851-1be9-4ff6-8bda-1b3854298aca,Missing phelps code
00bd2321-35c0-4986-ba8c-ed9a8a5275fe,Missing phelps code
00e8065e-cb20-4fc7-9972-d8b38f36aec7,Missing phelps code
010e0cb2-03eb-429d-a724-c40967d70c67,Missing phelps code
011d5894-1bab-4c39-b9e8-7ead5b8b9c81,Missing phelps code
0121acad-660b-4234-a94e-1c3d2d383c80,Missing phelps code
01249d9c-61da-4ed1-8583-e8fb4d713230,Missing phelps code
016e5408-52f4-4cd0-a25c-9e9e17500248,Missing phelps code
01767a05-d3c1-4584-9f1d-4d7804cbd2ff,Missing phelps code
0183afec-b88a-48f1-b68b-0b469804a039,Missing phelps code
01848a8c-83ff-4675-af06-66d809277f6f,Missing phelps code
01d57874-465f-42f8-8abd-f0996b3056ac,Missing phelps code
01dfb6d1-77de-42da-8a41-80bdc9d7591d,Duplicate language shs for phelps BH03470 with different content
01e67c6b-2301-4f64-a0fd-df64fdb563d7,Missing phelps code
01f6a27c-2b9e-4e6e-b657-3c70ad7d05d9,Missing phelps code
0248b0a7-85c9-4090-9150-11f05d9d3849,Missing phelps code
026e7d00-f085-4476-8708-9222a49f9f4c,Missing phelps code
027e011a-fb9c-4c67-a4c1-a011baf23c9c,Missing phelps code
028334c5-e19c-470e-bc6c-6d743e3e7c2a,Missing phelps code
02870abf-6e8b-45ce-b355-958fd7863df9,Missing phelps code
03429aeb-e4f8-44a1-9339-43a813c5aa9a,Missing phelps code
03461a16-d942-49df-a1f1-20eea88f9d6c,Missing phelps code
035d0cc2-1dd6-4aa0-b90a-007c472f029b,Missing phelps code
039930fa-3bcc-4e4a-9839-808e0b90bf40,Missing phelps code
03ce30d2-0077-4bfc-9481-e7bcfb866b47,Missing phelps code
03d04c29-3b8d-4466-8734-02135b6dcb0e,Missing phelps code
03d37d70-2320-4a6e-a465-64f8fca9842a,Missing phelps code
03fc6e97-0f82-4198-bc53-b6709c79db3c,Missing phelps code
04035e82-8c6c-4b7a-ba19-945b07f999bb,Missing phelps code
043a6f92-b9b8-469e-b159-054d0e511be3,Missing phelps code
0453298b-5cca-495c-9452-3901a41a3ae5,Missing phelps code
046ce522-9329-4459-b244-cd7aa3b95e81,Missing phelps code
049d47fd-64c1-4ce5-aeb3-f4270e007bb3,Missing phelps code
04c4290d-b512-4fd1-a1ff-0b71e0c982b8,Missing phelps code
04c9772b-0e80-4c3f-a1c9-08ebb3669d23,Missing phelps code
04d479e7-cb1f-4523-a035-468241c3b314,Missing phelps code
04d60f98-8e95-4910-be80-ba5c059d5559,Missing phelps code
04e4d96d-8857-4e5d-9b08-d40e7da35603,Missing phelps code
04fb0f7c-979b-4b42-a02b-3c2c5d8a63b6,Missing phelps code
053d2bdb-3f37-4548-bcab-f52843d9be9c,Missing phelps code
05494fd0-5b3f-4dba-9cb8-8ef0567c2a2c,Missing phelps code
0556ec93-41e3-4d63-84a3-12b5945c126d,Missing phelps code
058f102e-5bcc-4591-a6ec-4d0494ca3744,Missing phelps code
05a5f1e4-5a96-4812-8f93-effe556a2093,Missing phelps code
05ab5ff1-1631-4b5e-bcec-3b157e7a3b65,Missing phelps code
05b03e98-8d20-4f10-9f3a-25a6c409e353,Missing phelps code
05e47a1d-e62e-46b2-8e0a-465aea0c269a,Missing phelps code
05e6abca-e6d2-48d6-95bc-62290e2ed572,Missing phelps code
05f875cb-8a71-4485-b7f9-2ab2a6bfbfec,Missing phelps code
0603e169-4617-45f0-880e-5d512066d7b0,Missing phelps code
06143a74-1c19-49fa-ab5f-37e457d89a1c,Missing phelps code
0644bef3-bab6-4323-bd0d-13621896826f,Missing phelps code
064573a6-c180-4e63-9d24-d123d41c9032,Missing phelps code
065d5a96-6a7d-44c9-90fa-d84978eb63ba,Missing phelps code
068b50ae-d492-4758-b6ba-e2156533f04e,Duplicate language id for phelps AB03461MAR with different content
06a05b50-6e0a-47dd-b336-0e6d9b29f357,Missing phelps code
06af2c3c-88b0-4161-98a9-8cba3b050c7f,Missing phelps code
06baa8e0-a5c2-4aec-b1e8-3278f52c5437,Missing phelps code
06d6e001-7ca0-4d87-8de9-4991445f15ac,Missing phelps code
06e72afc-4235-42c2-a80b-f3a55fcf63b6,Missing phelps code
06fc50fe-efa0-4651-aec0-4d4c720e8013,Missing phelps code
06fde28e-8dab-4ab3-afa4-79d14c170675,Missing phelps code
073c141d-d66c-4b59-85f7-00074c6617a9,Duplicate language en for phelps BB00617 with different content
07673a97-633b-46f1-8144-7d6d612f1397,Missing phelps code
07765f83-306b-404c-808e-d7cf62979f8c,Missing phelps code
0780e502-7128-496f-9847-3eb82dd88b6b,Missing phelps code
07846922-c48c-45c4-8825-d95c93cece77,Missing phelps code
078a7cad-40a8-4f0f-9d99-57ae8ba6fb3e,Missing phelps code
07f3040f-d6ff-4774-8baa-1931076f0c3e,Missing phelps code
080939a0-068c-4dde-9fc7-9324e1e2b30e,Missing phelps code
081f78f2-2939-404c-b1bf-e3bcac054745,Missing phelps code
084e5390-05d8-4b06-a672-a0ee291a40ee,Missing phelps code
085edf38-d030-4d4c-a62f-4087cf742695,Missing phelps code
08a15ee3-ba28-42de-8cf0-def6e87003c3,Duplicate language zh-Hans for phelps AB00001FIR with different content
08a7c579-852f-4eb6-adea-cff9193c3dfb,Missing phelps code
08c0cad1-f906-4296-8904-8e4d7d1cb88d,Missing phelps code
08c7738b-5c65-4eaf-9b55-7e91234911d8,Missing phelps code
0918dc9a-c0a8-4d80-b4f2-89ecc8b7324f,Missing phelps code
095cb514-8bde-4959-9435-b8af42b0abf5,Missing phelps code
0975b9aa-8154-4962-bf79-0e4e8f51695c,Missing phelps code
09821557-9201-47f4-85e6-e5503f5017f1,Missing phelps code
098ff736-23e2-4081-ba06-9ce84fefc27d,Missing phelps code
099df155-332d-4ade-86e4-2f61c2a9e60f,Missing phelps code
09a4b041-9783-4fd0-ba5c-86aa1f6fe8cf,Missing phelps code
09bb0f23-1310-47cc-a4b8-79409a2651aa,Missing phelps code
09c8d476-51eb-455a-8b47-8d39476adf24,Missing phelps code
0a06655c-1fb4-4cb4-b034-6df27988eedd,Duplicate language ja for phelps BH09085 with different content
0a15dfb2-b258-4921-8883-439f5a4e12a8,Missing phelps code
0a16c9b2-df9b-448e-8c13-d123f7795ff3,Missing phelps code
0a1a3d30-9074-495c-9860-6e8c71c484f1,Missing phelps code
0a911b9c-ca76-4b15-aad6-3939860ab5f2,Missing phelps code
0b14dde1-9e69-4c4e-86d4-6f7c77c95c1c,Missing phelps code
0b3bc542-f9f7-404c-bd74-83875e325438,Missing phelps code
0b472e81-ca7b-4e89-b776-a004538909af,Missing phelps code
0b4e4b1b-0b25-4f6d-86f6-cf8664f74519,Missing phelps code
0b5f1e5b-c88b-4862-b7b5-79452cf283ed,Missing phelps code
0b7021c2-217a-492d-9945-d8f4372c9531,Missing phelps code
0b73c447-d72c-49ee-8e3e-5d75e4c9e8a7,Missing phelps code
0b94c2ca-9926-4b38-b50e-b2504855f06c,Missing phelps code
0bc5eebc-45b9-41a3-9d46-78d61db08168,Missing phelps code
0c06155b-4d9d-4bd8-977e-fa66b01fe495,Missing phelps code
0c2946d0-b864-4ffc-a0f3-4a9d25b42425,Missing phelps code
0c515acc-b603-431c-896a-d75d7fa0932b,Missing phelps code
0c79f328-e5ea-481b-b68a-c1e6e3b82431,Missing phelps code
0c84bd11-3e6c-4c0f-943a-bbbaebb826bd,Missing phelps code
0c9dfd20-8af4-4373-803d-cc56471d219f,Duplicate language en for phelps AB10714 with different content
0cc8be6c-765d-4036-a535-b56fb976e23e,Duplicate language zh-Hans for phelps ABU0003DIS with different content
0cdf61f7-809a-4c1f-93ff-a779564b1586,Duplicate language en for phelps AB09794CHI with different content
0ce37f30-af82-44d8-8200-5d1f399ce1eb,Missing phelps code
0d156592-230a-495f-8344-dabd13e041cf,Missing phelps code
0d2e0497-a66a-48d4-bfee-3f12e7ef7df5,Missing phelps code
0d355aa8-a200-4084-b27d-a809076c15f9,Missing phelps code
0d6775d3-5dcf-479d-acba-85b309a53e14,Missing phelps code
0d95a50c-3f82-44c5-9f4d-eee85aa6a622,Missing phelps code
0dbf4aac-8c21-48d1-867d-da774e0b69a2,Missing phelps code
0dc7e230-acca-4f55-bdc0-e556f534dfc1,Missing phelps code
0dd00415-3ec4-4973-8549-b04aa12970e9,Missing phelps code
0ddd05b2-e6c6-41e6-8fa7-de9f2b8a607f,Missing phelps code
0de5465a-b498-41c5-a95e-7cb0ef73abf0,Missing phelps code
0e0c264e-2714-48fc-a9aa-4ed6462d92e0,Missing phelps code
0e10b825-fcb4-494d-82c6-b2d6faa39510,Missing phelps code
0e6179d1-ee78-4f70-915c-77c81365ff70,Missing phelps code
0ecf8da8-8515-4973-a85e-c72b032acb21,Missing phelps code
0ee1d955-4fb5-4e5a-ad4e-202891ee0ac1,Duplicate language zh-Hant for phelps BH03447 with different content
0ef370bb-df98-4555-9b01-7987206accba,Missing phelps code
0f0d0365-3439-4fd4-8006-fcdb917d107b,Missing phelps code
0f1c39e2-ea4d-4fe9-8158-ff63b2294bf5,Missing phelps code
0f26e1b2-9776-4f7d-b71d-a79bf87bbd19,Missing phelps code
0f2f11d3-797c-426e-a9fc-c940b285ebe1,Missing phelps code
0f38c371-6ca9-4b8e-9e8a-6e634c6ce672,Missing phelps code
0f4b0d14-d3c5-49df-a926-3a4c57c4a634,Duplicate language zh-Hant for phelps AB00001SHI with different content
0f4d502b-d2f1-4ef8-a2e0-358155cda1e1,Missing phelps code
0f7281be-2646-4cb6-9f36-80d06ba7f4cb,Missing phelps code
0f7eccea-6162-426a-8aee-7d85f1f70fdd,Missing phelps code
0f8b84ca-9401-468e-8bd0-19a7265b00b9,Duplicate language sk for phelps BH01026 with different content
10059b28-f673-478e-a1b8-b8e86d7178b1,Missing phelps code
102019d0-58bf-49a8-b4ad-cc0e7f4d78a3,Duplicate language ja for phelps BH08242 with different content
1088ab51-7128-449f-a766-88fba069c4c9,Missing phelps code
10957eae-d3ce-42c4-b7d2-2b8cda5c3e75,Missing phelps code
1097f772-6ae0-4318-803e-bf154b4844dd,Missing phelps code
10a3e14f-9317-43f0-80b2-5f6f9de859ec,Missing phelps code
10c0d8db-8c03-4c89-8677-a247f8240bd8,Missing phelps code
11049740-95c0-4b67-9bc0-5a424ff8e130,Missing phelps code
1119bbcd-2e05-41fc-bc0c-e4381dd49a68,Missing phelps code
1122dfc8-7c16-44e0-b37e-eeb088bf4eb3,Missing phelps code
1139191d-8d96-448a-b5f0-6bbfd9a4df8d,Missing phelps code
