version,issue
007b5005-55dc-49fa-bc2d-585a67ad51cb,Missing phelps code (not fixed)
010e0cb2-03eb-429d-a724-c40967d70c67,Missing phelps code (not fixed)
01249d9c-61da-4ed1-8583-e8fb4d713230,Missing phelps code (not fixed)
016e5408-52f4-4cd0-a25c-9e9e17500248,Missing phelps code (not fixed)
01767a05-d3c1-4584-9f1d-4d7804cbd2ff,Missing phelps code (not fixed)
0183afec-b88a-48f1-b68b-0b469804a039,Missing phelps code (not fixed)
01848a8c-83ff-4675-af06-66d809277f6f,Missing phelps code (not fixed)
01e67c6b-2301-4f64-a0fd-df64fdb563d7,Missing phelps code (not fixed)
01f6a27c-2b9e-4e6e-b657-3c70ad7d05d9,Missing phelps code (not fixed)
0248b0a7-85c9-4090-9150-11f05d9d3849,Missing phelps code (not fixed)
026e7d00-f085-4476-8708-9222a49f9f4c,Missing phelps code (not fixed)
027e011a-fb9c-4c67-a4c1-a011baf23c9c,Missing phelps code (not fixed)
028334c5-e19c-470e-bc6c-6d743e3e7c2a,Missing phelps code (not fixed)
02870abf-6e8b-45ce-b355-958fd7863df9,Missing phelps code (not fixed)
03429aeb-e4f8-44a1-9339-43a813c5aa9a,Missing phelps code (not fixed)
034530ec-3593-40b6-8867-1769274a2784,Duplicate language ro for phelps AB03082 with different content
039930fa-3bcc-4e4a-9839-808e0b90bf40,Missing phelps code (not fixed)
03d04c29-3b8d-4466-8734-02135b6dcb0e,Missing phelps code (not fixed)
03d37d70-2320-4a6e-a465-64f8fca9842a,Missing phelps code (not fixed)
03fc6e97-0f82-4198-bc53-b6709c79db3c,Missing phelps code (not fixed)
04035e82-8c6c-4b7a-ba19-945b07f999bb,Missing phelps code (not fixed)
043a6f92-b9b8-469e-b159-054d0e511be3,Missing phelps code (not fixed)
0453298b-5cca-495c-9452-3901a41a3ae5,Missing phelps code (not fixed)
049d47fd-64c1-4ce5-aeb3-f4270e007bb3,Missing phelps code (not fixed)
04c4290d-b512-4fd1-a1ff-0b71e0c982b8,Missing phelps code (not fixed)
04c9772b-0e80-4c3f-a1c9-08ebb3669d23,Missing phelps code (not fixed)
04d479e7-cb1f-4523-a035-468241c3b314,Missing phelps code (not fixed)
04d60f98-8e95-4910-be80-ba5c059d5559,Missing phelps code (not fixed)
04e4d96d-8857-4e5d-9b08-d40e7da35603,Missing phelps code (not fixed)
04fb0f7c-979b-4b42-a02b-3c2c5d8a63b6,Missing phelps code (not fixed)
053d2bdb-3f37-4548-bcab-f52843d9be9c,Missing phelps code (not fixed)
0556ec93-41e3-4d63-84a3-12b5945c126d,Missing phelps code (not fixed)
058f102e-5bcc-4591-a6ec-4d0494ca3744,Missing phelps code (not fixed)
05a5f1e4-5a96-4812-8f93-effe556a2093,Missing phelps code (not fixed)
05b03e98-8d20-4f10-9f3a-25a6c409e353,Missing phelps code (not fixed)
05e47a1d-e62e-46b2-8e0a-465aea0c269a,Missing phelps code (not fixed)
05e6abca-e6d2-48d6-95bc-62290e2ed572,Missing phelps code (not fixed)
05f875cb-8a71-4485-b7f9-2ab2a6bfbfec,Missing phelps code (not fixed)
06143a74-1c19-49fa-ab5f-37e457d89a1c,Missing phelps code (not fixed)
0644bef3-bab6-4323-bd0d-13621896826f,Missing phelps code (not fixed)
064573a6-c180-4e63-9d24-d123d41c9032,Missing phelps code (not fixed)
065d5a96-6a7d-44c9-90fa-d84978eb63ba,Missing phelps code (not fixed)
068b50ae-d492-4758-b6ba-e2156533f04e,Missing phelps code (not fixed)
06af2c3c-88b0-4161-98a9-8cba3b050c7f,Missing phelps code (not fixed)
06baa8e0-a5c2-4aec-b1e8-3278f52c5437,Missing phelps code (not fixed)
06d6e001-7ca0-4d87-8de9-4991445f15ac,Missing phelps code (not fixed)
06e72afc-4235-42c2-a80b-f3a55fcf63b6,Missing phelps code (not fixed)
06fc50fe-efa0-4651-aec0-4d4c720e8013,Missing phelps code (not fixed)
07765f83-306b-404c-808e-d7cf62979f8c,Missing phelps code (not fixed)
0780e502-7128-496f-9847-3eb82dd88b6b,Missing phelps code (not fixed)
07846922-c48c-45c4-8825-d95c93cece77,Missing phelps code (not fixed)
07f3040f-d6ff-4774-8baa-1931076f0c3e,Missing phelps code (not fixed)
080939a0-068c-4dde-9fc7-9324e1e2b30e,Missing phelps code (not fixed)
084e5390-05d8-4b06-a672-a0ee291a40ee,Suspicious/placeholder phelps code: NEW_TRANSLATION
085edf38-d030-4d4c-a62f-4087cf742695,Missing phelps code (not fixed)
08a15ee3-ba28-42de-8cf0-def6e87003c3,Missing phelps code (not fixed)
08a7c579-852f-4eb6-adea-cff9193c3dfb,Missing phelps code (not fixed)
08c7738b-5c65-4eaf-9b55-7e91234911d8,Missing phelps code (not fixed)
095cb514-8bde-4959-9435-b8af42b0abf5,Missing phelps code (not fixed)
0975b9aa-8154-4962-bf79-0e4e8f51695c,Missing phelps code (not fixed)
09821557-9201-47f4-85e6-e5503f5017f1,Missing phelps code (not fixed)
098ff736-23e2-4081-ba06-9ce84fefc27d,Missing phelps code (not fixed)
099df155-332d-4ade-86e4-2f61c2a9e60f,Missing phelps code (not fixed)
09a4b041-9783-4fd0-ba5c-86aa1f6fe8cf,Missing phelps code (not fixed)
09c8d476-51eb-455a-8b47-8d39476adf24,Missing phelps code (not fixed)
0a06655c-1fb4-4cb4-b034-6df27988eedd,Missing phelps code (not fixed)
0a15dfb2-b258-4921-8883-439f5a4e12a8,Missing phelps code (not fixed)
0a16c9b2-df9b-448e-8c13-d123f7795ff3,Missing phelps code (not fixed)
0a1a3d30-9074-495c-9860-6e8c71c484f1,Missing phelps code (not fixed)
0b3bc542-f9f7-404c-bd74-83875e325438,Missing phelps code (not fixed)
0b472e81-ca7b-4e89-b776-a004538909af,Missing phelps code (not fixed)
0b4e4b1b-0b25-4f6d-86f6-cf8664f74519,Missing phelps code (not fixed)
0b5f1e5b-c88b-4862-b7b5-79452cf283ed,Missing phelps code (not fixed)
0b7021c2-217a-492d-9945-d8f4372c9531,Missing phelps code (not fixed)
0b73c447-d72c-49ee-8e3e-5d75e4c9e8a7,Missing phelps code (not fixed)
0b94c2ca-9926-4b38-b50e-b2504855f06c,Missing phelps code (not fixed)
0bc5eebc-45b9-41a3-9d46-78d61db08168,Missing phelps code (not fixed)
0c06155b-4d9d-4bd8-977e-fa66b01fe495,Missing phelps code (not fixed)
0c2946d0-b864-4ffc-a0f3-4a9d25b42425,Missing phelps code (not fixed)
0c515acc-b603-431c-896a-d75d7fa0932b,Missing phelps code (not fixed)
0c79f328-e5ea-481b-b68a-c1e6e3b82431,Missing phelps code (not fixed)
